Park Code,Park Name,State,Acres,Latitude,Longitude,Description,Activities,Topics,WeatherInfo
ACAD,Acadia National Park,ME,47390,44.35,-68.21,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 4 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.","['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Compass and GPS', 'Geocaching', 'Fishing', 'Freshwater Fishing', 'Fly Fishing', 'Saltwater Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Bus/Shuttle Guided Tour', 'Boat Tour', 'Hands-On', 'Citizen Science', 'Hiking', 'Front-Country Hiking', 'Horse Trekking', 'Horseback Riding', 'Ice Skating', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snow Play', 'Snowmobiling', 'Snowshoeing', 'Swimming', 'Freshwater Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store']","['Arts', 'Painting', 'Photography', 'Poetry and Literature', 'Sculpture', 'Colonization and Settlement', 'Maritime', 'Lighthouses', 'Monuments and Memorials', 'Schools and Education', 'Transportation', 'Bridges', 'Roads, Routes and Highways', 'Tragic Events', 'Catastrophic Fires', ""Women's History"", 'Animals', 'Birds', 'Fish', 'Climate Change', 'Fire', 'Forests and Woodlands', 'Geology', 'Lakes', 'Mountains', 'Night Sky', 'Astronomy', 'Oceans', 'Rock Landscapes and Features', 'Trails', 'Wetlands']","Located on Mount Desert Island in Maine, Acadia experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C)."
ARCH,Arches National Park,UT,76519,38.68,-109.57,"Discover a landscape of contrasting colors, land forms, and textures unlike any other. The park has over 2,000 natural stone arches, hundreds of soaring pinnacles, massive rock fins, and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets. Reservations are required 4/3/22-10/3/22, more information below.","['Arts and Culture', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Canyoneering', 'Climbing', 'Rock Climbing', 'Guided Tours', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Junior Ranger Program', 'Shopping', 'Bookstore and Park Store']","['Archeology', 'Farming and  Agriculture', 'Ranches', 'Native American Heritage', 'Animals', 'Birds', 'Geology', 'Night Sky', 'Rock Landscapes and Features', 'Arches', 'Trails']","Arches is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
BADL,Badlands National Park,SD,242756,43.75,-102.5,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.","['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Compass and GPS', 'Food', 'Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Archeology', 'Arts', 'Colonization and Settlement', 'Farming and  Agriculture', 'Military', 'Indigenous and Native Warrior', 'Monuments and Memorials', 'Native American Heritage', 'Transportation', 'Tragic Events', 'Massacres', 'Wars and Conflicts', 'Indian and Frontier Wars', 'Westward Expansion', 'Homesteading', 'Ancient Seas', 'Animals', 'Birds', 'Bison', 'Cats (wild)', 'Horses (wild)', 'Tortoises and Turtles', 'Climate Change', 'Fire', 'Fossils and Paleontology', 'Geology', 'Grasslands', 'Prairies', 'Night Sky', 'Astronomy', 'Rock Landscapes and Features', 'Scenic Views', 'Trails', 'Unique Species', 'Endangered', 'Wilderness']",The Badlands weather is variable and unpredictable with temperature extremes ranging from 116° F to -40° F. Summers are hot and dry with occasional violent thunderstorms. Hailstorms and occasional tornadoes can descend on the Badlands with sudden fury. Winters are typically cold with 12 to 24 inches of total snowfall.
BIBE,Big Bend National Park,TX,801163,29.25,-103.25,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...","['Auto and ATV', 'Scenic Driving', 'Astronomy', 'Stargazing', 'Biking', 'Camping', 'Backcountry Camping', 'Fishing', 'Food', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hiking', 'Backcountry Hiking', 'Paddling', 'Canoeing', 'Canoe or Kayak Camping', 'Kayaking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching']","['Archeology', 'Ruins', 'Aviation', 'Farming and  Agriculture', 'Ranches', 'Hispanic American Heritage', 'Industry', 'Mining', 'Latino American Heritage', 'Military', 'Cavalry', 'US Air Force (Army Air Corps)', 'Native American Heritage', 'Transportation', 'Roads, Routes and Highways', 'Animals', 'Birds', 'Fish', 'Canyons and Canyonlands', 'Fossils and Paleontology', 'Dinosaur', 'Geology', 'Geothermal', 'Hot Springs', 'Mountains', 'Natural Sounds', 'Night Sky', 'River and Riparian', 'Scenic Views', 'Trails', 'Unique Species', 'Endangered']","Big Bend is a desert park, so be prepared for extreme conditions. SPRING: From February through April the park abounds with pleasant and comfortable temperatures. SUMMER: May through September is very hot. Temperatures will exceed 100 degrees in the lower elevations by late morning, and often exceed 110 along the Rio Grande. Afternoon thunderstorms can be a welcome respite. WINTER: October through January temperatures are cooler; the weather can quickly turn cold at any time during these months."
BISC,Biscayne National Park,FL,172924,25.65,-80.08,"Within sight of Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Evidence of 10,000 years of human history is here too; from prehistoric tribes to shipwrecks, and pineapple farmers to presidents. For many, the park is a boating, fishing, and diving destination, while others enjoy a warm breeze and peaceful scenery.","['Boating', 'Motorized Boating', 'Sailing', 'Boat Tour', 'Camping', 'Fishing', 'Guided Tours', 'Boat Tour', 'Paddling', 'Canoeing', 'Kayaking', 'Stand Up Paddleboarding', 'Junior Ranger Program', 'SCUBA Diving', 'Snorkeling', 'Swimming', 'Saltwater Swimming', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['African American Heritage', 'Arts', 'Maritime', 'Maritime - Military', 'Lighthouses', 'Piracy and Privateering', 'Ships and Shipwrecks', 'Schools and Education', 'Animals', 'Alligators or Crocodiles', 'Birds', 'Fish', 'Tortoises and Turtles', 'Climate Change', 'Coasts, Islands and Atolls', 'Estuaries and Mangroves', 'Oceans', 'Coral Reefs', 'Scenic Views', 'Trails', 'Water Trails', 'Unique Species', 'Endangered']","The park is situated in a subtropical climate, which ensures sunshine year-round. Winters are normally dry and mild, with occasional fronts bringing wind and little rain. Summer brings hot and humid weather with scattered thunderstorms in the afternoons. The average temperature in January is 68 degrees Fahrenheit and 82 in July. The average rainfall for the area is 2.17 inches in January and 3.95 inches in July. June to November is hurricane season."
BLCA,Black Canyon of the Gunnison National Park,CO,32950,38.57,-107.72,"Big enough to be overwhelming, still intimate enough to feel the pulse of time, Black Canyon of the Gunnison National Park exposes you to some of the steepest cliffs, oldest rock, and craggiest spires in North America. With two million years to work, the Gunnison River, along with the forces of weathering, has sculpted this vertical wilderness of rock, water, and sky.","['Camping', 'Climbing', 'Fishing', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Kayaking', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching']","['Explorers and Expeditions', 'Transportation', 'Trains and Railroads', 'Animals', 'Birds', 'Canyons and Canyonlands', 'Geology']","Today's Weather: http://www.weather.com/weather/today/l/NPBLCA:13:US CLIMATE Weather can vary greatly throughout the day. Summer daytime temperatures range between 55 to 90F (13 to 32C), nights 45 to 60F (7 to 16C). Winter daytime temperatures range between 15 to 40F (-9 to 4C), nights 10 to 20F (-12 to -6C). Afternoon thunderstorms are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended."
BRCA,Bryce Canyon National Park,UT,35835,37.57,-112.18,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.","['Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'RV Camping', 'Food', 'Dining', 'Guided Tours', 'Self-Guided Tours - Auto', 'Bus/Shuttle Guided Tour', 'Hiking', 'Backcountry Hiking', 'Horse Trekking', 'Junior Ranger Program', 'Skiing', 'Cross-Country Skiing', 'Snowshoeing', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store']","['Native American Heritage', 'Animals', 'Birds', 'Cats (wild)', 'Canyons and Canyonlands', 'Climate Change', 'Fire', 'Forests and Woodlands', 'Coniferous Forests', 'Geology', 'Grasslands', 'Meadows', 'Natural Sounds', 'Night Sky', 'Astronomy', 'Rock Landscapes and Features', 'Scenic Views', 'Trails', 'Unique Species', 'Endangered']","Due of its high elevation climate, weather at Bryce Canyon through autumn, winter, and spring can be highly variable. From October to May temperatures fall below freezing nearly every night. The park typically experiences its coldest and snowiest periods from December through February. Spring storms in March and April can still produce heavy snowfall that may impact travel in the region. Summer highs are typically in the 70s-80s F and afternoon thunderstorms are common in July and August."
CANY,Canyonlands National Park,UT,337598,38.2,-109.93,"Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.","['Astronomy', 'Stargazing', 'Biking', 'Boating', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Group Camping', 'Climbing', 'Rock Climbing', 'Guided Tours', 'Boat Tour', 'Hiking', 'Horse Trekking', 'Horseback Riding', 'Paddling', 'Canoe or Kayak Camping', 'Whitewater Rafting', 'Junior Ranger Program', 'Park Film', 'Shopping', 'Bookstore and Park Store']","['Archeology', 'Explorers and Expeditions', 'Farming and  Agriculture', 'Ranches', 'Native American Heritage', 'Animals', 'Birds', 'Fish', 'Canyons and Canyonlands', 'Fossils and Paleontology', 'Geology', 'Groundwater', 'Impact Craters', 'Natural Sounds', 'Night Sky', 'River and Riparian', 'Rock Landscapes and Features', 'Trails']","Canyonlands is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
CARE,Capitol Reef National Park,UT,241904,38.2,-111.17,"Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes, and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles.","['Arts and Culture', 'Cultural Demonstrations', 'Astronomy', 'Stargazing', 'Biking', 'Road Biking', 'Camping', 'Backcountry Camping', 'Car or Front Country Camping', 'Horse Camping (see also Horse/Stock Use)', 'Group Camping', 'RV Camping', 'Canyoneering', 'Climbing', 'Rock Climbing', 'Fishing', 'Food', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Self-Guided Tours - Auto', 'Hands-On', 'Citizen Science', 'Arts and Crafts', 'Volunteer Vacation', 'Hiking', 'Backcountry Hiking', 'Front-Country Hiking', 'Off-Trail Permitted Hiking', 'Horse Trekking', 'Horse Camping (see also camping)', 'Horseback Riding', 'Living History', 'First Person Interpretation', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Museum Exhibits', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Archeology', 'Ruins', 'Arts', 'Painting', 'Photography', 'Colonization and Settlement', 'Commerce', 'Trade', 'Explorers and Expeditions', 'Farming and  Agriculture', 'Ranches', 'Industry', 'Mining', 'Military', 'Native American Heritage', 'Religion and Spirituality', 'Churches', 'Schools and Education', 'Science, Technology and Innovation', 'Transportation', 'Roads, Routes and Highways', 'Westward Expansion', 'Homesteading', ""Women's History"", 'Ancient Seas', 'Animals', 'Birds', 'Cats (wild)', 'Elk', 'Fish', 'Canyons and Canyonlands', 'Climate Change', 'Dunes', 'Foothills, Plains and Valleys', 'Plateaus and Mesas', 'Forests and Woodlands', 'Coniferous Forests', 'Deciduous Forests', 'Fossils and Paleontology', 'Dinosaur', 'Petrified Wood', 'Geology', 'Mineral Deposits', 'Glaciers', 'Grasslands', 'Night Sky', 'Astronomy', 'River and Riparian', 'Rock Landscapes and Features', 'Arches', 'Scenic Views', 'Thickets and Shrublands', 'Trails', 'Unique Species', 'Rare', 'Endangered', 'Volcanoes', 'Waterfalls']",Weather is posted daily; check at the park visitor center for weather updates. Do not enter into narrow canyons if there is a threat of rain or if rain has been falling in the area. Rain and snow may also make dirt roads impassable to vehicles.
CAVE,Carlsbad Caverns National Park,NM,46766,32.17,-104.44,"High ancient sea ledges, deep rocky canyons, flowering cactus, and desert wildlife—treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 caves—formed when sulfuric acid dissolved limestone leaving behind caverns of all sizes.","['Astronomy', 'Stargazing', 'Camping', 'Caving', 'Food', 'Dining', 'Picnicking', 'Guided Tours', 'Self-Guided Tours - Walking', 'Hiking', 'Junior Ranger Program', 'Wildlife Watching', 'Birdwatching', 'Park Film', 'Shopping', 'Bookstore and Park Store', 'Gift Shop and Souvenirs']","['Native American Heritage', 'Ancient Seas', 'Animals', 'Birds', 'Fish', 'Tortoises and Turtles', 'Caves, Caverns and Karst', 'Geology', 'Night Sky', 'Astronomy', 'Trails', 'Unique Species', 'Wilderness']","Carlsbad Caverns National Park is located in the Chihuahuan Desert in southeast New Mexico. Summers are hot with temperatures between 90°F (32°C) and low 100s °F (38°C). Windy conditions and mild temperatures are common in early spring (March-May) with frequent rain in early fall (August-September). This part of the country also sees cold temperatures in the winter with occasional snow and icy conditions. Most days, the park is enveloped by a gorgeous blue sky with very few clouds, 278 sunny days a year!"
